cell_class	channel_combo	plate	well
Mitotic	DAPI_COXIV_CENPA_WGA	1	B1
Mitotic	DAPI_CENPA	1	B1
Mitotic	DAPI_WGA	1	B1
all	DAPI_COXIV_CENPA_WGA	1	B1
all	DAPI_CENPA	1	B1
all	DAPI_WGA	1	B1
Interphase	DAPI_COXIV_CENPA_WGA	2	B2
Interphase	DAPI_CENPA	2	B2
Interphase	DAPI_WGA	2	B2
Mitotic	DAPI_COXIV_CENPA_WGA	2	B2
Mitotic	DAPI_CENPA	2	B2
Mitotic	DAPI_WGA	2	B2
all	DAPI_COXIV_CENPA_WGA	2	B2
all	DAPI_CENPA	2	B2
all	DAPI_WGA	2	B2
Interphase	DAPI_COXIV_CENPA_WGA	3	B2
Interphase	DAPI_CENPA	3	B2
Interphase	DAPI_WGA	3	B2
Mitotic	DAPI_COXIV_CENPA_WGA	3	B2
Mitotic	DAPI_CENPA	3	B2
Mitotic	DAPI_WGA	3	B2
all	DAPI_COXIV_CENPA_WGA	3	B2
all	DAPI_CENPA	3	B2
all	DAPI_WGA	3	B2
Interphase	DAPI_COXIV_CENPA_WGA	1	B2
Interphase	DAPI_CENPA	1	B2
Interphase	DAPI_WGA	1	B2
Mitotic	DAPI_COXIV_CENPA_WGA	1	B2
Mitotic	DAPI_CENPA	1	B2
Mitotic	DAPI_WGA	1	B2
all	DAPI_COXIV_CENPA_WGA	1	B2
all	DAPI_CENPA	1	B2
all	DAPI_WGA	1	B2
Interphase	DAPI_COXIV_CENPA_WGA	2	A3
Interphase	DAPI_CENPA	2	A3
Interphase	DAPI_WGA	2	A3
Mitotic	DAPI_COXIV_CENPA_WGA	2	A3
Mitotic	DAPI_CENPA	2	A3
Mitotic	DAPI_WGA	2	A3
all	DAPI_COXIV_CENPA_WGA	2	A3
all	DAPI_CENPA	2	A3
all	DAPI_WGA	2	A3
Interphase	DAPI_COXIV_CENPA_WGA	2	B3
Interphase	DAPI_CENPA	2	B3
Interphase	DAPI_WGA	2	B3
Mitotic	DAPI_COXIV_CENPA_WGA	2	B3
